action,blood glucose,reward,meal,risk,time
[[0.]],425.46207,-153.26292333028545,0.0,66.51597811813814,14:39
[[0.]],428.0345,-154.5934334559858,0.0,67.34963511349564,14:42
[[0.]],430.67233,-155.9261832139162,0.0,68.26513291201437,14:45
[[0.]],433.23096,-157.18696928916216,0.0,69.24286777113358,14:48
[[0.]],435.56653,-158.30424240187537,0.0,70.26419734893327,14:51
[[0.]],437.54263,-159.21158299253574,0.0,71.31260843241212,14:54
[[0.]],442.2741,-162.18924590261,0.0,72.37417821914502,14:57
[[0.]],452.60187,-168.5879065124082,0.0,73.43758061046057,15:00
[[0.]],461.46307,-172.6829760660351,0.0,74.49385295765039,15:03
[[0.]],469.04343,-176.1830652249322,0.0,75.53606689256644,15:06
[[0.]],475.53647,-179.18536397002032,0.0,76.55898536374119,15:09
[[0.]],481.1424,-181.7902751553451,0.0,77.55874658705223,15:12
[[0.]],486.06656,-184.10070645037217,0.0,78.53259110572756,15:15
[[0.]],490.5187,-186.22172502788743,0.0,79.47863501747358,15:18
[[0.]],494.71194,-188.25996590450967,0.0,80.39568614424485,15:21
[[0.]],498.862,-190.32340667191914,0.0,81.28309746069603,15:24
[[0.]],503.17084,-192.50954812206413,0.0,82.14065161722418,15:27
[[0.]],507.74542,-194.85114191823186,0.0,82.96847084206844,15:30
[[0.]],512.5492,-197.2990669723814,0.0,83.76694731836155,15:33
[[0.]],517.51465,-199.81304688744416,0.0,84.53669002134389,15:36
[[0.]],522.57513,-202.3601213801146,0.0,85.27848483892144,15:39
[[0.]],527.6648,-204.90770974624377,0.0,85.99326553893337,15:42
[[0.]],532.7187,-207.4236943384178,0.0,86.68209378428587,15:45
[[0.]],537.67267,-209.87635158157838,0.0,87.34614694752806,15:48
[[0.]],542.4632,-212.23421377931945,0.0,87.98671296244922,15:51
[[0.]],547.0274,-214.46612539787128,0.0,88.60519189603401,15:54
[[0.]],551.30505,-216.54265069141002,0.0,89.20310434941482,15:57
[[0.]],555.2487,-218.44284127341018,0.0,89.78210720703566,16:00
[[0.]],558.8299,-220.15642864857782,0.0,90.34401761886366,16:03
[[0.]],562.02515,-221.6727266273464,0.0,90.89084630283443,16:06
[[0.]],564.8122,-222.98081373690775,0.0,91.4248409689764,16:09
[[0.]],567.1735,-224.07289294430726,0.0,91.94853911167245,16:12
[[0.]],569.11395,-224.95590812092155,0.0,92.46482490638576,16:15
[[0.]],570.67114,-225.65535891235822,0.0,92.97697439707802,16:18
[[0.]],571.89166,-226.19625835246302,0.0,93.48865278808576,16:21
[[0.]],572.8237,-226.60297430762898,0.0,94.00379889041815,16:24
[[0.]],573.525,-226.90623392425408,0.0,94.52631695409431,16:27
[[0.]],574.1057,-227.17180728237068,0.0,95.05954773062895,16:30
[[0.]],574.7524,-227.50860402889438,0.0,95.60563617226607,16:33
[[0.]],575.66223,-228.01734201769347,0.0,96.16504938983978,16:36
[[0.]],577.024,-228.790498404387,0.0,96.73645680545633,16:39
[[0.]],579.0038,-229.90636264284072,0.0,97.31698273012624,16:42
[[0.]],581.6755,-231.38276182504978,0.0,97.90267672072298,16:45
[[0.]],584.98016,-233.1629501744195,0.0,98.48902381207625,16:48
[[0.]],588.8287,-235.19615547457167,0.0,99.07138091892605,16:51
[[0.]],593.13226,-237.43811416311445,0.0,99.64529681167362,16:54
[[0.]],597.4516,-239.5985871095981,0.0,100.20671769088084,16:57
[[0.]],600.0,-240.5138149673187,0.0,100.75209955818934,17:00
[[0.]],600.0,-240.0,0.0,101.27845255558023,17:03
[[0.]],600.0,-240.0,0.0,101.78333958753245,17:06
[[0.]],600.0,-240.0,0.0,102.2648465993706,17:09
[[0.]],600.0,-240.0,0.0,102.72153703332395,17:12
[[0.]],600.0,-240.0,0.0,103.15239899472121,17:15
[[0.]],600.0,-240.0,0.0,103.5567906604524,17:18
[[0.]],600.0,-240.0,0.0,103.93438732619346,17:21
[[0.]],600.0,-240.0,0.0,104.28513202816474,17:24
[[0.]],600.0,-240.0,0.0,104.60919070919678,17:27
[[0.]],600.0,-240.0,0.0,104.90691228121507,17:30
[[0.]],600.0,-240.0,0.0,105.17879355676321,17:33
[[0.]],600.0,-240.0,0.0,105.42544880164102,17:36
[[0.]],600.0,-240.0,0.0,105.64758354392842,17:39
[[0.]],600.0,-240.0,0.0,105.84597222386691,17:42
[[0.]],600.0,-240.0,0.0,106.02143925907274,17:45
